#Time frame = 0.0 ps; Number of reference = 113000 atoms; Number of chains = 235
#Atomic index    1.5*max_eigval    Number of unit vectors
730     0.223     68
731     0.223     65
732     0.243     63
733     0.222     60
734     0.190     70
735     0.150     75
736     0.149     72
737     0.150     71
738     0.145     72
739     0.129     70
740     0.145     69
741     0.129     72
742     0.155     70
743     0.154     71
744     0.136     74
745     0.142     67
746     0.167     66
747     0.175     62
748     0.187     63
749     0.151     66
750     0.146     64
751     0.184     65
752     0.168     64
753     0.226     68
754     0.258     68
755     0.312     65
756     0.310     73
757     0.443     72
758     0.441     70
759     0.513     72
760     0.558     70
761     0.570     73
762     0.587     74
763     0.634     79
764     0.639     75
765     0.690     75
766     0.622     84
767     0.692     84
768     0.672     82
769     0.696     81
770     0.684     78
771     0.616     84
772     0.526     84
773     0.550     81
774     0.564     80
775     0.518     80
776     0.490     79
777     0.456     78
778     0.466     76
779     0.423     75
780     0.421     75
781     0.382     74
782     0.356     74
783     0.291     79
784     0.270     71
785     0.228     75
786     0.234     74
787     0.187     69
788     0.212     69
789     0.112     71
790     0.153     72
791     0.155     68
792     0.152     72
793     0.143     76
794     0.136     73
795     0.127     74
796     0.120     70
797     0.123     71
798     0.100     72
799     0.121     74
800     0.521     78
801     0.575     77
802     0.503     84
803     0.597     77
804     0.572     78
805     0.626     79
806     0.612     78
807     0.696     77
808     0.708     75
809     0.758     78
810     0.712     75
811     0.698     83
812     0.606     81
813     0.657     76
814     0.532     80
815     0.572     73
816     0.526     73
817     0.548     71
818     0.487     68
819     0.450     66
820     0.344     63
821     0.350     62
822     0.380     66
823     0.314     63
824     0.314     63
825     0.353     69
826     0.327     69
827     0.285     64
828     0.252     65
829     0.191     60
830     0.208     61
831     0.164     64
832     0.137     69
833     0.111     69
834     0.103     68
835     0.137     68
836     0.150     71
837     0.175     74
838     0.145     75
839     0.183     70
840     0.233     68
841     0.187     73
842     0.225     78
843     0.229     73
844     0.296     68
845     0.310     70
846     0.375     70
847     0.355     77
848     0.468     74
849     0.403     73
850     0.467     75
851     0.402     81
852     0.410     76
853     0.365     78
854     0.477     78
855     0.443     79
856     0.429     72
857     0.380     72
858     0.370     70
859     0.324     70
860     0.276     72
861     0.251     70
862     0.285     69
863     0.288     72
864     0.267     73
865     0.213     71
866     0.207     70
867     0.196     74
868     0.160     75
869     0.142     76
870     0.102     71
871     0.121     67
872     0.070     70
873     0.077     69
874     0.122     71
875     0.135     71
876     0.132     71
877     0.182     64
878     0.116     69
879     0.118     76
880     0.102     70
881     0.122     70
882     0.121     65
883     0.081     66
884     0.064     66
885     0.089     68
886     0.117     64
887     0.082     64
888     0.082     64
889     0.112     64
890     0.030     61
891     0.065     60
892     0.100     65
893     0.151     64
894     0.161     57
895     0.162     65
896     0.113     72
897     0.146     71
898     0.128     72
899     0.179     68
900     0.265     63
901     0.389     66
902     0.381     69
903     0.354     67
904     0.332     70
905     0.305     66
906     0.375     69
907     0.459     73
908     0.496     72
909     0.575     71
910     0.562     72
911     0.621     71
912     0.652     69
913     0.726     76
914     0.728     76
915     0.753     76
916     0.719     77
917     0.750     79
918     0.715     73
919     0.736     78
920     0.737     74
921     0.733     79
922     0.679     80
923     0.678     82
924     0.618     81
925     0.598     79
926     0.491     84
927     0.478     80
928     0.370     82
929     0.399     79
930     0.283     75
931     0.290     74
932     0.308     72
933     0.228     74
934     0.194     67
935     0.131     66
936     0.118     62
937     0.070     66
938     0.069     63
939     0.072     65
940     0.081     63
941     0.121     66
942     0.144     70
943     0.123     74
944     0.113     67
945     0.118     64
946     0.130     63
947     0.189     64
948     0.231     65
949     0.262     65
950     0.249     65
951     0.320     71
952     0.365     74
953     0.397     76
954     0.442     80
955     0.542     76
956     0.587     80
957     0.623     80
958     0.670     81
959     0.737     83
960     0.804     81
961     0.855     81
962     0.861     84
963     0.890     80
964     0.912     84
965     0.945     84
966     0.946     86
967     0.967     81
968     0.928     87
969     0.928     88
970     0.919     90
971     0.926     87
972     0.910     89
973     0.870     87
974     0.863     90
975     0.818     83
976     0.812     89
977     0.799     81
978     0.739     88
979     0.673     88
980     0.603     87
981     0.630     81
982     0.551     81
983     0.496     79
984     0.423     80
985     0.305     75
986     0.264     73
987     0.303     73
988     0.232     76
989     0.233     79
990     0.164     71
991     0.146     73
992     0.209     75
993     0.216     75
994     0.196     81
995     0.228     79
996     0.248     77
997     0.254     68
998     0.250     73
999     0.280     70
1000     0.434     74
1001     0.484     73
1002     0.572     73
1003     0.584     77
1004     0.642     81
1005     0.686     82
1006     0.750     87
1007     0.748     83
1008     0.770     86
1009     0.794     83
1010     0.768     89
1011     0.773     84
1012     0.792     86
1013     0.798     88
1014     0.813     85
1015     0.786     87
1016     0.795     88
1017     0.766     88
1018     0.749     88
1019     0.770     85
1020     0.743     87
1021     0.744     87
1022     0.710     85
1023     0.697     83
1024     0.570     89
1025     0.595     85
1026     0.530     82
1027     0.569     75
1028     0.484     77
1029     0.431     76
1030     0.335     75
1031     0.326     74
1032     0.381     72
1033     0.401     73
1034     0.386     75
1035     0.332     74
1036     0.220     70
1037     0.217     65
1038     0.174     65
1039     0.135     69
1040     0.154     69
1041     0.144     66
1042     0.128     71
1043     0.071     71
1044     0.101     73
1045     0.100     68
1046     0.090     66
1047     0.121     66
1048     0.134     69
1049     0.152     72
1050     0.113     72
1051     0.103     80
1052     0.114     75
1053     0.103     74
1054     0.117     64
1055     0.206     65
