#Time frame = 0.0 ps; Number of reference = 113000 atoms; Number of chains = 235
#Atomic index    1.5*max_eigval    Number of unit vectors
1165     0.165     59
1166     0.175     59
1167     0.190     59
1168     0.196     59
1169     0.163     64
1170     0.141     60
1171     0.168     60
1172     0.156     56
1173     0.161     56
1174     0.126     60
1175     0.181     56
1176     0.235     49
1177     0.224     52
1178     0.201     54
1179     0.268     45
1180     0.224     46
1181     0.242     52
1182     0.218     51
1183     0.140     47
1184     0.127     48
1185     0.082     46
1186     0.062     51
1187     0.030     50
1188     0.055     49
1189     0.068     46
1190     0.035     47
1191     0.040     48
1192     0.062     46
1193     0.130     50
1194     0.125     51
1195     0.177     55
1196     0.195     59
1197     0.219     57
1198     0.250     55
1199     0.253     66
1200     0.175     60
1201     0.149     61
1202     0.154     57
1203     0.108     64
1204     0.128     60
1205     0.110     62
1206     0.093     59
1207     0.097     55
1208     0.078     57
1209     0.115     62
1210     0.139     55
1211     0.139     58
1212     0.140     60
1213     0.097     63
1214     0.129     62
1215     0.166     60
1216     0.173     56
1217     0.190     57
1218     0.184     56
1219     0.148     51
1220     0.203     52
1221     0.167     58
1222     0.132     58
1223     0.090     59
1224     0.048     53
1225     0.066     53
1226     0.082     52
1227     0.134     56
1228     0.141     56
1229     0.157     63
1230     0.149     61
1231     0.150     58
1232     0.128     58
1233     0.113     58
1234     0.125     61
1235     0.099     62
1236     0.084     63
1237     0.063     62
1238     0.087     63
1239     0.060     65
1240     0.096     68
1241     0.130     67
1242     0.109     63
1243     0.140     67
1244     0.132     65
1245     0.167     61
1246     0.123     57
1247     0.099     61
1248     0.112     60
1249     0.072     58
1250     0.105     56
1251     0.086     53
1252     0.069     56
1253     0.063     55
1254     0.086     57
1255     0.108     54
1256     0.120     57
1257     0.151     61
1258     0.160     60
1259     0.147     65
1260     0.166     63
1261     0.173     62
1262     0.171     60
1263     0.182     61
1264     0.173     57
1265     0.192     59
1266     0.195     58
1267     0.219     56
1268     0.181     54
1269     0.184     58
1270     0.139     58
1271     0.113     57
1272     0.140     57
1273     0.154     57
1274     0.114     62
1275     0.080     67
1276     0.100     61
1277     0.088     60
1278     0.100     54
1279     0.076     53
1280     0.095     55
1281     0.085     51
1282     0.077     50
1283     0.085     53
1284     0.047     50
1285     0.029     53
1286     0.078     51
1287     0.077     52
1288     0.118     52
1289     0.163     56
1290     0.233     53
1291     0.244     48
1292     0.284     48
1293     0.242     56
1294     0.196     57
1295     0.226     61
1296     0.176     63
1297     0.133     63
1298     0.120     61
1299     0.127     63
1300     0.165     56
1301     0.140     55
1302     0.187     57
1303     0.203     57
1304     0.151     60
1305     0.201     63
1306     0.179     66
1307     0.191     59
1308     0.167     61
1309     0.134     68
1310     0.093     66
1311     0.088     63
1312     0.112     59
1313     0.101     60
1314     0.143     55
1315     0.110     56
1316     0.141     48
1317     0.099     54
1318     0.188     53
1319     0.133     55
1320     0.155     54
1321     0.143     51
1322     0.104     50
1323     0.204     50
1324     0.186     44
1325     0.224     47
1326     0.130     44
1327     0.194     46
1328     0.094     50
1329     0.106     48
1330     0.112     45
1331     0.083     47
1332     0.078     50
1333     0.090     52
1334     0.088     51
1335     0.084     59
1336     0.090     55
1337     0.097     53
1338     0.094     51
1339     0.089     47
1340     0.108     48
1341     0.188     51
1342     0.177     58
1343     0.202     57
1344     0.142     65
1345     0.136     63
1346     0.115     66
1347     0.106     63
1348     0.092     59
1349     0.116     60
1350     0.147     54
1351     0.134     50
1352     0.115     53
1353     0.143     62
1354     0.164     62
1355     0.148     58
1356     0.155     62
1357     0.152     62
1358     0.129     55
1359     0.097     50
1360     0.049     51
1361     0.086     51
1362     0.108     47
1363     0.138     50
1364     0.129     55
1365     0.155     49
1366     0.162     50
1367     0.185     52
1368     0.174     56
1369     0.209     60
1370     0.190     59
1371     0.204     61
1372     0.204     62
1373     0.264     56
1374     0.219     62
1375     0.228     59
1376     0.249     55
1377     0.212     58
1378     0.184     58
1379     0.153     60
1380     0.133     60
1381     0.134     60
1382     0.150     59
1383     0.149     66
1384     0.194     61
1385     0.196     65
1386     0.138     60
1387     0.109     64
1388     0.061     64
1389     0.055     65
1390     0.111     56
1391     0.079     62
1392     0.128     60
1393     0.138     63
1394     0.186     60
1395     0.149     62
1396     0.158     58
1397     0.139     57
1398     0.114     57
1399     0.082     63
1400     0.236     67
1401     0.170     61
1402     0.247     61
1403     0.298     65
1404     0.373     66
1405     0.442     69
1406     0.508     65
1407     0.526     70
1408     0.614     69
1409     0.687     72
1410     0.717     70
1411     0.789     68
1412     0.815     68
1413     0.818     70
1414     0.879     68
1415     0.877     69
1416     0.905     69
1417     0.931     68
1418     0.934     70
1419     0.949     70
1420     0.974     68
1421     0.903     71
1422     0.876     73
1423     0.817     73
1424     0.789     72
1425     0.755     72
1426     0.715     73
1427     0.671     68
1428     0.668     67
1429     0.599     67
1430     0.619     57
1431     0.499     65
1432     0.499     67
1433     0.407     64
1434     0.346     62
1435     0.246     55
1436     0.186     55
1437     0.148     53
1438     0.121     57
1439     0.118     59
1440     0.103     57
1441     0.115     57
1442     0.203     63
1443     0.147     59
1444     0.139     63
1445     0.194     59
1446     0.236     60
1447     0.176     68
1448     0.193     63
1449     0.155     67
1450     0.133     60
1451     0.130     63
1452     0.140     57
1453     0.133     57
1454     0.117     55
1455     0.148     58
1456     0.140     59
1457     0.117     53
1458     0.160     55
1459     0.195     52
1460     0.150     50
1461     0.150     52
1462     0.108     43
1463     0.172     49
1464     0.147     46
1465     0.175     52
1466     0.183     46
1467     0.234     45
1468     0.249     47
1469     0.188     48
1470     0.196     44
1471     0.174     50
1472     0.132     51
1473     0.096     52
1474     0.104     53
1475     0.064     54
1476     0.089     52
1477     0.079     52
1478     0.068     47
1479     0.099     57
1480     0.097     60
1481     0.139     56
1482     0.140     59
1483     0.151     57
1484     0.190     60
1485     0.200     58
1486     0.162     57
1487     0.174     54
1488     0.167     49
1489     0.164     47
1490     0.174     45
1491     0.168     45
1492     0.155     49
1493     0.087     46
1494     0.078     53
1495     0.080     45
1496     0.074     48
1497     0.059     48
1498     0.070     51
1499     0.132     50
1500     0.105     45
1501     0.085     44
1502     0.062     44
1503     0.119     46
1504     0.076     53
1505     0.182     47
1506     0.157     55
1507     0.138     52
1508     0.128     57
1509     0.156     54
1510     0.160     55
1511     0.180     53
1512     0.239     51
1513     0.215     50
1514     0.213     51
1515     0.179     50
1516     0.211     50
1517     0.217     49
1518     0.229     51
1519     0.258     52
1520     0.294     58
1521     0.281     55
1522     0.296     52
1523     0.308     59
1524     0.319     55
1525     0.321     56
1526     0.306     52
1527     0.301     54
1528     0.303     51
1529     0.292     56
1530     0.313     50
1531     0.311     53
1532     0.254     55
1533     0.191     53
1534     0.133     49
1535     0.113     52
1536     0.076     51
1537     0.094     50
1538     0.086     48
1539     0.065     48
1540     0.142     48
1541     0.164     48
1542     0.201     42
1543     0.225     40
1544     0.248     45
1545     0.228     47
1546     0.323     45
1547     0.293     49
1548     0.277     46
1549     0.228     50
1550     0.249     50
1551     0.231     57
1552     0.256     52
1553     0.256     54
1554     0.270     47
1555     0.267     46
1556     0.201     51
1557     0.186     49
1558     0.200     49
1559     0.170     48
1560     0.190     51
1561     0.177     54
1562     0.172     50
1563     0.149     53
1564     0.127     58
1565     0.138     62
1566     0.144     62
1567     0.118     61
1568     0.164     58
1569     0.127     59
1570     0.167     63
1571     0.156     64
1572     0.129     64
1573     0.129     65
1574     0.144     62
1575     0.151     60
1576     0.123     63
1577     0.146     57
1578     0.150     60
1579     0.139     59
1580     0.143     62
1581     0.146     61
1582     0.105     62
1583     0.106     56
1584     0.117     59
1585     0.125     52
1586     0.095     54
1587     0.081     54
1588     0.109     54
1589     0.145     56
1590     0.149     58
1591     0.164     62
1592     0.132     58
1593     0.113     63
1594     0.097     59
1595     0.179     61
1596     0.150     73
1597     0.146     69
1598     0.162     67
1599     0.107     72
1600     0.178     48
1601     0.199     50
1602     0.203     53
1603     0.160     50
1604     0.157     50
1605     0.141     50
1606     0.154     52
1607     0.216     53
1608     0.181     59
1609     0.144     54
1610     0.125     52
1611     0.061     54
1612     0.121     52
1613     0.096     53
1614     0.122     52
1615     0.147     52
1616     0.149     56
1617     0.163     56
1618     0.188     55
1619     0.176     62
1620     0.174     61
1621     0.214     58
1622     0.200     58
1623     0.187     58
1624     0.209     61
1625     0.208     56
1626     0.190     60
1627     0.204     60
1628     0.172     64
1629     0.204     61
1630     0.162     60
1631     0.177     60
1632     0.172     56
1633     0.151     56
1634     0.186     52
1635     0.224     54
1636     0.196     52
1637     0.161     50
